tmvcodigo;tmvdescricao;tmvatualiza
4797;"IMP/MBENZ 310D SPRINTERM                          ";"N"
4798;"IMP/VOLVO B12 360 4X2                             ";"N"
4799;"IMP/VOLVO B12 360 6X4                             ";"N"
48;"FBM/KAPRA 125 TR                                  ";"N"
480;"WEMOTO/MULAN 50                                   ";"N"
4800;"IMP/VOLVO B12 400 4X2                             ";"N"
4801;"IMP/VOLVO B12 400 6X2                             ";"N"
4802;"SR/IBIZA 15                                       ";"N"
4803;"VW/ITAPOA ITA900                                  ";"N"
4804;"M.BENZ/ITAPOA ITA900                              ";"N"
4805;"M.BENZ/O 400 R                                    ";"N"
4806;"M.BENZ/O 400 RS                                   ";"N"
4807;"M.BENZ/O 400 RSL                                  ";"N"
4808;"M.BENZ/O 400 RSE PL                               ";"N"
4809;"M.BENZ/O 400 UL                                   ";"N"
481;"WEMOTO/XING-FU XF125A                             ";"N"
4810;"M.BENZ/O 400 UP                                   ";"N"
4811;"M.BENZ/O 400 UP PL                                ";"N"
4812;"M.BENZ/O 400 U                                    ";"N"
4813;"M.BENZ/O 400 RSD PL                               ";"N"
4814;"M.BENZ/O 400 RSD                                  ";"N"
4815;"M.BENZ/O 400 UPA PL                               ";"N"
4816;"M.BENZ/O 400 UPA PL E                             ";"N"
4817;"VOLVO/B12 400 6X2                                 ";"N"
4818;"VOLVO/B12 400 4X2                                 ";"N"
4819;"VOLVO/B12 360 4X2                                 ";"N"
482;"HONDA/XR 200R                                     ";"N"
4820;"VOLVO/B12 360 6X2                                 ";"N"
4821;"IMP/KIA BESTA SV                                  ";"N"
4822;"IMP/KIA BESTA                                     ";"N"
4823;"IMP/KIA BESTA EST                                 ";"N"
4824;"IMP/KIA BESTA 10P GS                              ";"N"
4825;"IMP/KIA BESTA 12P GS                              ";"N"
4826;"IMP/KIA BESTA 10P RS                              ";"N"
4827;"IMP/KIA BESTA 12P RS                              ";"N"
4828;"IMP/KIA                                           ";"N"
4829;"BUSSCAR/JUM BUSS 340                              ";"N"
483;"HTA/HONDA CH 125 SPACY                            ";"N"
4830;"IMP/NISSAN                                        ";"N"
4831;"IMP/MMC L300                                      ";"N"
4832;"IMP/FORD CLUB WAGON XLT                           ";"N"
4833;"IMP/FORD M.ONIBUS ESCOLAR                         ";"N"
4834;"IMP/FORD ONIBUS ESCOLAR                           ";"N"
4835;"IMP/FORD ODONTOC.MOVEL                            ";"N"
4836;"IMP/FORD                                          ";"N"
4837;"GM/EVM VERANEIO M                                 ";"N"
4838;"IMP/GM EVM VERANEIO M                             ";"N"
4839;"IMP/FLEXIBLE                                      ";"N"
484;"CMB                                               ";"N"
4840;"IMP/L.ROVER DEFENDER 110                          ";"N"
4841;"IMP/HYUNDAI H100 GSR                              ";"N"
4842;"IMP/HYUNDAI H100 DLX                              ";"N"
4843;"IMP/HYUNDAI H100 SPR                              ";"N"
4844;"IMP/HYUNDAI H100 SPREL                            ";"N"
4845;"IMP/HYUNDAI H100 GS                               ";"N"
4846;"IMP/TOYOTA BB 10L                                 ";"N"
4847;"IMP/INTERNATIONAL ESCOLAR                         ";"N"
4848;"IMP/INTERNATIONAL                                 ";"N"
4849;"POWERTRONICS/G5R MP2E                             ";"N"
485;"IMP/JIALING CJ 50F                                ";"N"
4850;"POWERTRONICS/G5N MP2E                             ";"N"
4851;"TECNOBUS/TRIBUS 4 T.23                            ";"N"
4852;"TECNOBUS/SUPERBUS 4 T.12                          ";"N"
4853;"TECNOBUS/SUPERBUS 4 T.13                          ";"N"
4854;"IMP/SPARTAN EC2242                                ";"N"
4855;"IMP/PEUGEOT BOXER 310CMO                          ";"N"
4856;"IMP/PEUGEOT BOXER 320MMO                          ";"N"
4857;"IMP/PEUGEOT BOXER 310CCO                          ";"N"
4858;"IMP/PEUGEOT BOXER 320MCO                          ";"N"
4859;"IMP/PEUGEOT BOXER 310CMT                          ";"N"
486;"IMP/JIALING JH 50                                 ";"N"
4860;"IMP/PEUGEOT BOXER 320MCT                          ";"N"
4861;"IMP/PEUGEOT BOXER 310CCT                          ";"N"
4862;"IMP/PEUGEOT BOXER 320MMT                          ";"N"
4863;"MON/PROTOTIPO                                     ";"N"
4864;"IMP/EUCLID                                        ";"N"
4865;"IMP/VOLVO                                         ";"N"
4866;"M.A./AGRALE 4100                                  ";"N"
4867;"M.A./AGRALE                                       ";"N"
4868;"M.A./ALLIS CHALMERS                               ";"N"
4869;"M.A./AMERICAN                                     ";"N"
487;"IMP/JIALING JH 70                                 ";"N"
4870;"M.A./BENATI                                       ";"N"
4871;"M.A./BLH AUSTIN WESTERN                           ";"N"
4872;"M.A./BOBCAT                                       ";"N"
4873;"M.A./BOMAG                                        ";"N"
4874;"M.A./BUCYRUS ERIE                                 ";"N"
4875;"M.A./CASE 580H                                    ";"N"
4876;"M.A./CASE-POCLAIN 80P                             ";"N"
4877;"M.A./CASE-POCLAIN LY 2P                           ";"N"
4878;"M.A./CASE W18                                     ";"N"
4879;"M.A./CASE W20B                                    ";"N"
488;"IMP/JIALING JH 125                                ";"N"
4880;"M.A./CASE W36B                                    ";"N"
4881;"M.A./CASE W30D                                    ";"N"
4882;"CASE/M.A.580 L                                    ";"N"
4883;"M.A./CASE W 20E                                   ";"N"
4884;"IMP.M.A. CASE 621 B                               ";"N"
4885;"M.A./CASE                                         ";"N"
4886;"M.A./CATERPILLAR                                  ";"N"
4887;"M.A./CBT                                          ";"N"
4888;"M.A./CHASESIDE                                    ";"N"
4889;"M.A./CIA NAC DE GUINDAST                          ";"N"
489;"IMP/JIALING JH 125L                               ";"N"
4890;"M.A./CLARK                                        ";"N"
4891;"M.A./COLES                                        ";"N"
4892;"M.A./CONTY                                        ";"N"
4893;"M.A./DEUTZ                                        ";"N"
4894;"M.A./DROTT                                        ";"N"
4895;"M.A./FABRIS                                       ";"N"
4896;"M.A./FENDT                                        ";"N"
4897;"M.A./FERFLEX                                      ";"N"
4898;"M.A./FIAT ALLIS                                   ";"N"
4899;"M.A./FIAT                                         ";"N"
49;"FBM/MZ 250                                        ";"N"
490;"IMP/JIALING MAGIC JD90                            ";"N"
4900;"M.A./FNV - FRUEHAUF                               ";"N"
4901;"M.A./FORD 6610                                    ";"N"
4902;"M.A./FORD 4610                                    ";"N"
4903;"M.A./FORD                                         ";"N"
4904;"M.A./GROVE TMS 345                                ";"N"
4905;"IMP/M.A. GROVE GMK 5130 L                         ";"N"
4906;"M.A./GROVE                                        ";"N"
4907;"M.A./HANOMAG                                      ";"N"
4908;"M.A./HUBER-WARCO                                  ";"N"
4909;"M.A./HWB                                          ";"N"
491;"IMP/JIALING                                       ";"N"
4910;"M.A./HYSTER                                       ";"N"
4911;"M.A./KOEHRING                                     ";"N"
4912;"M.A./KRANE-CAR                                    ";"N"
4913;"M.A./LIMA                                         ";"N"
4914;"M.A./LORAIN                                       ";"N"
4915;"M.A./MASSEY-FERGUSON                              ";"N"
4916;"M.A./MEACARTE                                     ";"N"
4917;"M.A./MICHIGAN                                     ";"N"
4918;"M.A./MULLER                                       ";"N"
4919;"M.A./P & H                                        ";"N"
492;"IMP/QINGQI KASEA 50B                              ";"N"
4920;"M.A./POCLAIN                                      ";"N"
4921;"M.A./RANDON                                       ";"N"
4922;"M.A./TEMA TERRA 1014                              ";"N"
4923;"M.A./TEMA TERRA                                   ";"N"
4924;"M.A./TEREX                                        ";"N"
4925;"M.A./TOYOTA                                       ";"N"
4926;"M.A./TRAMONTINI                                   ";"N"
4927;"M.A./VALMET 118                                   ";"N"
4928;"M.A./VALMET                                       ";"N"
4929;"M.A./WBCO                                         ";"N"
493;"IMP/QINGQI QM50QW                                 ";"N"
4930;"M.A./YALE GL 83                                   ";"N"
4931;"M.A./YALE                                         ";"N"
4932;"M.A./GALION 150 A                                 ";"N"
4933;"M.A./GALION                                       ";"N"
4934;"M.A./ENGESA                                       ";"N"
4935;"M.A./TOBATTA                                      ";"N"
4936;"M.A./KOMATSU 16 B                                 ";"N"
4937;"M.A./KOMATSU D 30                                 ";"N"
4938;"M.A./KOMATSU                                      ";"N"
4939;"M.A./VILLARES 40 VG                               ";"N"
494;"IMP/QINGQI                                        ";"N"
4940;"M.A./VILLARES                                     ";"N"
4941;"M.A./TRINGEL                                      ";"N"
4942;"M.A./PANAMA MARU                                  ";"N"
4943;"M.A./CIFALI                                       ";"N"
4944;"M.A./FORMAC                                       ";"N"
4945;"M.A./HELAN SERTANEJO III                          ";"N"
4946;"M.A./HELAN                                        ";"N"
4947;"M.A./DYNAPAC 15 A                                 ";"N"
4948;"M.A./DYNAPAC                                      ";"N"
4949;"M.A./COOPER                                       ";"N"
495;"IMP/PGO COMET E1 RB                               ";"N"
4950;"M.A./ROKON                                        ";"N"
4951;"M.A./TTA PARTULE                                  ";"N"
4952;"M.A./BANTAM                                       ";"N"
4953;"M.A./KALMAR                                       ";"N"
4954;"M.A./MONITOWOC                                    ";"N"
4955;"M.A./YANMAR 1040                                  ";"N"
4956;"M.A./YANMAR                                       ";"N"
4957;"M.A./ACWELL                                       ";"N"
4958;"M.A./ATLAS COPCO                                  ";"N"
4959;"M.A./CODIMAQ                                      ";"N"
496;"IMP/PGO GALAXY 90 RB                              ";"N"
4960;"M.A./INGRAM                                       ";"N"
4961;"M.A./NEW HOLLAND                                  ";"N"
4962;"M.A./SCANIA                                       ";"N"
4963;"M.A./SLC                                          ";"N"
4964;"M.A./SANTA MATILDE                                ";"N"
4965;"M.A./SUPER SA 14                                  ";"N"
4966;"M.A./TRAIL BREAKER                                ";"N"
4967;"M.A./VIBRO                                        ";"N"
4968;"M.A./VOLVO EC A25C 6X6                            ";"N"
4969;"M.A./VOLVO                                        ";"N"
497;"IMP/PGO STAR III RB                               ";"N"
4970;"M.A./TORNAPULL                                    ";"N"
4971;"M.A./SCAVA                                        ";"N"
4972;"M.A./TRIAN R 700P                                 ";"N"
4973;"M.A./TRIAN 700P                                   ";"N"
4974;"M.A./IDEAL                                        ";"N"
4975;"M.A./TADANO TG 500E                               ";"N"
4976;"M.A./TADANO TG 700E                               ";"N"
4977;"IMP/M.A.TADANO ATF 120.5                          ";"N"
4978;"IMP/M.A.TADANO RTF 65.4                           ";"N"
4979;"IMP/M.A. TADANO ATF 70.4                          ";"N"
498;"IMP/PGO SUNDOWN FIFTY                             ";"N"
4980;"IMP/M.A. TADANO ATF 50-3                          ";"N"
4981;"IMP/M.A. TADANO TR 350XL                          ";"N"
4982;"M.A./MASAL                                        ";"N"
4983;"M.A./TENNANT 267                                  ";"N"
4984;"M.A./JONES 45 T-IMP                               ";"N"
4985;"M.A./MILAN                                        ";"N"
4986;"M.A./MAXION MX750 2WD                             ";"N"
4987;"M.A./MAXION MX750 4WD                             ";"N"
4988;"M.A./IMP KATO                                     ";"N"
4989;"M.A./NORTH                                        ";"N"
499;"IMP/PGO SUNDOWN SUPER                             ";"N"
4990;"M.A./IMP TRATOR                                   ";"N"
4991;"M.A./IMP EMPILHADEIRA                             ";"N"
4992;"IMP/M.A.LIEBHERR LTM1030                          ";"N"
4993;"IMP/M.A.LIEBHERR LTM1070                          ";"N"
4994;"IMP/M.A.LIEBHERR LTM1120                          ";"N"
4995;"IMP/M.A.LIEBHERR LTM1090                          ";"N"
4996;"IMP/M.A.LIEBHERR LTM1225                          ";"N"
4997;"IMP/M.A.LIEBHERR LTM1040                          ";"N"
4998;"IMP/M.A.LIEBHERR LTM1300                          ";"N"
4999;"IMP/M.A.LIEBHERR LTM1050                          ";"N"
5;"AGRALE/ELEFANT 16.5                               ";"N"
50;"HONDA/C100 DREAM                                  ";"N"
500;"IMP/PGO SUNDOWN TWIN90                            ";"N"
5000;"IMP/M.A. JCB 214                                  ";"N"
5001;"IMP/M.A. SCORZA                                   ";"N"
5002;"IMP/M.A. MDF                                      ";"N"
5003;"IMP/DEUTZ-FAHR                                    ";"N"
5004;"M.AGRICOLA                                        ";"N"
5005;"REB/A.JOIA                                        ";"N"
5006;"REB/A.B.CHANCE                                    ";"N"
5007;"REB/A.GUERRA                                      ";"N"
5008;"REB/ABE                                           ";"N"
5009;"REB/ADEJAN                                        ";"N"
501;"IMP/PGO SUNDOWN TWIN50                            ";"N"
5010;"REB/ADEPAR                                        ";"N"
5011;"REB/ADIL                                          ";"N"
5012;"REB/ADLER                                         ";"N"
5013;"REB/ADOL                                          ";"N"
5014;"REB/AGRIMAO                                       ";"N"
5015;"REB/ALBERTIM                                      ";"N"
5016;"REB/ALIANCA                                       ";"N"
5017;"REB/ALUMISA                                       ";"N"
5018;"REB/ALVORADA                                      ";"N"
5019;"REB/AMERICAN                                      ";"N"
502;"IMP/PGO SUNDOWN SPEED90                           ";"N"
5020;"REB/ANCORA                                        ";"N"
5021;"REB/ANDRAVOLKS                                    ";"N"
5022;"REB/ANHANGUERA                                    ";"N"
5023;"REB/ANTONINI SRA BB                               ";"N"
5024;"REB/ANTONINI RA CN                                ";"N"
5025;"REB/ANTONINI SRA FG                               ";"N"
5026;"REB/ANTONINI SRA SI                               ";"N"
5027;"REB/ANTONINI                                      ";"N"
5028;"REB/AO-MAR                                        ";"N"
5029;"REB/APACHE                                        ";"N"
503;"IMP/PGO                                           ";"N"
5030;"REB/APOLO                                         ";"N"
5031;"REB/APV                                           ";"N"
5032;"REB/AQUASPORT                                     ";"N"
5033;"REB/ARCOFER                                       ";"N"
5034;"REB/ARGI                                          ";"N"
5035;"REB/ARMETAL                                       ";"N"
5036;"REB/ARTESANAL                                     ";"N"
5037;"REB/ARUJAMAR                                      ";"N"
5038;"REB/ASTRO LINEAR                                  ";"N"
5039;"REB/ATLANTICA                                     ";"N"
504;"IMP/ROYAL                                         ";"N"
5040;"REB/ATLAS COPCO ST 71                             ";"N"
5041;"REB/ATLAS COPCO XA 80                             ";"N"
5042;"REB/ATLAS COPCO                                   ";"N"
5043;"REB/AURELIO                                       ";"N"
5044;"REB/AUTOESTE                                      ";"N"
5045;"REB/AZEMAR                                        ";"N"
5046;"REB/B.L.C.                                        ";"N"
5047;"REB/BABY                                          ";"N"
5048;"REB/BACCARIN                                      ";"N"
5049;"REB/BARROS BARCO                                  ";"N"
505;"IMP/MINSK 125                                     ";"N"
5050;"REB/BARROS MOTO                                   ";"N"
5051;"REB/BARROS CARGA                                  ";"N"
5052;"REB/BARROS CAMPING                                ";"N"
5053;"REB/BARROS MINI                                   ";"N"
5054;"REB/BARROS CURTA                                  ";"N"
5055;"REB/BARROS MEDIO                                  ";"N"
5056;"REB/BARROS LONGA                                  ";"N"
5057;"REB/BARROS                                        ";"N"
5058;"REB/BATTOCCHIO                                    ";"N"
5059;"REB/BAZZA                                         ";"N"
506;"IMP/MINSK                                         ";"N"
5060;"REB/BELEM                                         ";"N"
5061;"REB/BENINCASA                                     ";"N"
5062;"REB/BERGAMASHI                                    ";"N"
5063;"REB/BETANIA                                       ";"N"
5064;"REB/BEUX                                          ";"N"
5065;"REB/BIANCHINI                                     ";"N"
5066;"REB/BIKINI                                        ";"N"
5067;"REB/BISELLI SRB GG                                ";"N"
5068;"REB/BISELLI SRB TT                                ";"N"
5069;"REB/BISELLI                                       ";"N"
507;"AGRALE/SUPERCITY 125                              ";"N"
5070;"REB/BLM MANGRO                                    ";"N"
5071;"REB/BRASCAR                                       ";"N"
5072;"REB/BRASIL                                        ";"N"
5073;"REB/BRECOVEL                                      ";"N"
5074;"REB/BRM                                           ";"N"
5075;"REB/BRUSOU                                        ";"N"
5076;"REB/BUDAGG                                        ";"N"
5077;"REB/BUGG                                          ";"N"
5078;"REB/BULLING                                       ";"N"
5079;"REB/CABRINI                                       ";"N"
508;"MOTO/FABRIC.PROPRIA                               ";"N"
5080;"REB/CAIMA                                         ";"N"
5081;"REB/CAMAPAGIBE                                    ";"N"
5082;"REB/CAMBE                                         ";"N"
5083;"REB/CAMPINGCAR FAMILY                             ";"N"
5084;"REB/CAMPINGCAR MAX C                              ";"N"
5085;"REB/CAMPINGCAR MAX J                              ";"N"
5086;"REB/CAMPINGCAR MAX M                              ";"N"
5087;"REB/CAMPING-CAR                                   ";"N"
5088;"REB/CAMPING-STAR                                  ";"N"
5089;"REB/CAMPONEZA                                     ";"N"
509;"AGRALE/QUATTOR 190                                ";"N"
5090;"REB/CANDOTTI                                      ";"N"
5091;"REB/CANTIN                                        ";"N"
5092;"REB/CARBRUNO                                      ";"N"
5093;"REB/CARGO VAN                                     ";"N"
5094;"REB/CARMETAL CL 3                                 ";"N"
5095;"REB/CARMETAL                                      ";"N"
5096;"REB/CARRETA                                       ";"N"
5097;"REB/CARRETA MIRIM                                 ";"N"
5098;"REB/CARRIAL                                       ";"N"
5099;"REB/CASARINI                                      ";"N"
51;"HONDA/C100 BIZ                                    ";"N"
510;"JTA/SUZUKI RF900R                                 ";"N"
5100;"REB/CASTOR                                        ";"N"
5101;"REB/CATERPILLAR                                   ";"N"
5102;"REB/CATORSOL                                      ";"N"
5103;"REB/CBS                                           ";"N"
5104;"REB/CCS                                           ";"N"
5105;"REB/CEAM                                          ";"N"
5106;"REB/CECAGNO                                       ";"N"
5107;"REB/CENTRAL                                       ";"N"
5108;"REB/CENTRO NAUTICO                                ";"N"
5109;"REB/CESMEL                                        ";"N"
511;"AGRALE/CAGIVA W8 190                              ";"N"
5110;"REB/CHAPASUL                                      ";"N"
5111;"REB/CIL                                           ";"N"
5112;"REB/CIMAN                                         ";"N"
5113;"REB/CM-PINGO                                      ";"N"
5114;"REB/COAST MISTRAL JB                              ";"N"
5115;"REB/COAST CAMARAN                                 ";"N"
5116;"REB/CODEMA                                        ";"N"
5117;"REB/CODIMAQ 900A                                  ";"N"
5118;"REB/CODIMAQ                                       ";"N"
5119;"REB/COLIBRI                                       ";"N"
512;"AGRALE/CAGIVA ELAFANT750                          ";"N"
5120;"REB/COLIVE                                        ";"N"
5121;"REB/COMIL                                         ";"N"
5122;"REB/COMIN                                         ";"N"
5123;"REB/COMMER                                        ";"N"
5124;"REB/CONTIN SRC GR                                 ";"N"
5125;"REB/CONTIN SRC TA                                 ";"N"
5126;"REB/CONTIN                                        ";"N"
5127;"REB/CONTINENTAL                                   ";"N"
5128;"REB/COPECAS                                       ";"N"
5129;"REB/CORONA                                        ";"N"
513;"AGRALE/CAGIVA W16 600                             ";"N"
5130;"REB/COTRASA                                       ";"N"
5131;"REB/CRIS                                          ";"N"
5132;"REB/CRP                                           ";"N"
5133;"REB/CRUZEIRO                                      ";"N"
5134;"REB/DAB                                           ";"N"
5135;"REB/DADUKA                                        ";"N"
5136;"REB/DALCONTI                                      ";"N"
5137;"REB/DALLA COSTA                                   ";"N"
5138;"REB/DAMBROZ EA113                                 ";"N"
5139;"REB/DAMBROZ EA113E                                ";"N"
514;"AGRALE/CAG. ROADSTER 200                          ";"N"
5140;"REB/DAMBROZ EA115                                 ";"N"
5141;"REB/DAMBROZ SRTC                                  ";"N"
5142;"REB/DAMBROZ SRPV                                  ";"N"
5143;"REB/DAMBROZ                                       ";"N"
5144;"REB/DAYSON                                        ";"N"
5145;"REB/DEBONA                                        ";"N"
5146;"REB/DESTIL                                        ";"N"
5147;"REB/DIAMAR                                        ";"N"
5148;"REB/DIPLOMATA                                     ";"N"
5149;"REB/DKW                                           ";"N"
515;"AGRALE/CAGIVA CANYON 600                          ";"N"
5150;"REB/DOLLY                                         ";"N"
5151;"REB/DOUAT                                         ";"N"
5152;"REB/DUNGA                                         ";"N"
5153;"REB/DURIGAN                                       ";"N"
5154;"REB/E.L.                                          ";"N"
5155;"REB/EDRA APT                                      ";"N"
5156;"REB/EDRA                                          ";"N"
5157;"REB/EMECAR                                        ";"N"
5158;"REB/EMIR                                          ";"N"
5159;"REB/EMIS                                          ";"N"
516;"AGRALE/CAGIVA CANYON 500                          ";"N"
5160;"REB/ENKO                                          ";"N"
5161;"REB/EQUIPAL                                       ";"N"
5162;"REB/ERCIL                                         ";"N"
5163;"REB/ESCUNA                                        ";"N"
5164;"REB/ESPERANCA                                     ";"N"
5165;"REB/ESTRELA                                       ";"N"
5166;"REB/ETUL                                          ";"N"
5167;"REB/FABRIS                                        ";"N"
5168;"REB/FAHAR                                         ";"N"
5169;"REB/FANAVIA JUNIOR                                ";"N"
517;"IMP/STANDARD CITY 50                              ";"N"
5170;"REB/FAPINHA                                       ";"N"
5171;"REB/FESTUGATO                                     ";"N"
5172;"REB/FEVE                                          ";"N"
5173;"REB/FIAT                                          ";"N"
5174;"REB/FIBER GLASS                                   ";"N"
5175;"REB/FIBERPLAST                                    ";"N"
5176;"REB/FIBRASAO                                      ";"N"
5177;"REB/FIEDLER                                       ";"N"
5178;"REB/FOFINHA                                       ";"N"
5179;"REB/FORMIGHIERI                                   ";"N"
518;"IMP/STANDARD CITY 90                              ";"N"
5180;"REB/FRANCENER                                     ";"N"
5181;"REB/FRANCIELI                                     ";"N"
5182;"REB/FRANCO                                        ";"N"
5183;"REB/FRANCO FORTE                                  ";"N"
5184;"REB/FRANCOPHER                                    ";"N"
5185;"REB/FRANSLIMA                                     ";"N"
5186;"REB/*****                                         ";"N"
5187;"REB/FUENTES                                       ";"N"
5188;"REB/FUJI ELETRIC                                  ";"N"
5189;"REB/FUNIVOLKS                                     ";"N"
519;"IMP/STANDARD FORCE 90                             ";"N"
5190;"REB/FURCARE                                       ";"N"
5191;"REB/FURGARE                                       ";"N"
5192;"REB/FURGLASS                                      ";"N"
5193;"REB/GEIZIG                                        ";"N"
5194;"REB/GEMINI                                        ";"N"
5195;"REB/GENIAL                                        ";"N"
5196;"REB/GERMANNI                                      ";"N"
5197;"REB/GIONGO                                        ";"N"
5198;"REB/GOBBO                                         ";"N"
5199;"REB/GOCEANO SRTPQI                                ";"N"
52;"HONDA                                             ";"N"
520;"IMP/STANDARD DAKAR 50                             ";"N"
5200;"REB/GOCEANO SRTPQC                                ";"N"
5201;"REB/GOCEANO TPQRI                                 ";"N"
5202;"REB/GOCEANO SRTPQRC                               ";"N"
5203;"REB/GOCEANO SRTPQTI                               ";"N"
5204;"REB/GOCEANO SRTPQTC                               ";"N"
5205;"REB/GOCEANO SRTC                                  ";"N"
5206;"REB/GOCEANO SRTAF                                 ";"N"
5207;"REB/GOCEANO SRTE                                  ";"N"
5208;"REB/GOCEANO SRTG                                  ";"N"
5209;"REB/GOCEANO SRC                                   ";"N"
521;"IMP/STANDARD FORCE 50                             ";"N"
5210;"REB/GOCEANO SRCC                                  ";"N"
5211;"REB/GOCEANO SRCT                                  ";"N"
5212;"REB/GOCEANO SRCE                                  ";"N"
5213;"REB/GOCEANO SRCS                                  ";"N"
5214;"REB/GOCEANO SRCSG                                 ";"N"
5215;"REB/GOCEANO SRL                                   ";"N"
5216;"REB/GOCEANO SRCBT                                 ";"N"
5217;"REB/GOCEANO SRA                                   ";"N"
5218;"REB/GOCEANO SRF                                   ";"N"
5219;"REB/GOCEANO SRFR                                  ";"N"
522;"IMP/DUCATI MONSTER 900                            ";"N"
5220;"REB/GOCEANO SRFF                                  ";"N"
5221;"REB/GOCEANO DI                                    ";"N"
5222;"REB/GOCEANO                                       ";"N"
5223;"REB/GOLIVE                                        ";"N"
5224;"REB/GOTTI SRB3E 088                               ";"N"
5225;"REB/GOTTI SRB3E 097                               ";"N"
5226;"REB/GOTTI SRTQCL3E 100                            ";"N"
5227;"REB/GOTTI SRTQCL3E 123                            ";"N"
5228;"REB/GOTTI SRTACL3 115                             ";"N"
5229;"REB/GOTTI SRTACL3E 120                            ";"N"
523;"IMP/HARTFORD LEGION 125                           ";"N"
5230;"REB/GOTTI SRTACL3E 125                            ";"N"
5231;"REB/GOTTI SRTQC3E 115                             ";"N"
5232;"REB/GOTTI SRTQC3E 125                             ";"N"
5233;"REB/GOTTI SRTQC3E 127                             ";"N"
5234;"REB/GOTTI SRTQL2E 095D                            ";"N"
5235;"REB/GOTTI SRTQL2E 092                             ";"N"
5236;"REB/GOTTI SRTQL3E 101                             ";"N"
5237;"REB/GOTTI SRTQL3E 115                             ";"N"
5238;"REB/GOTTI SRTQL3E 125                             ";"N"
5239;"REB/GOTTI SRTQL3E 127                             ";"N"
524;"IMP/CAGIVA CANYON 600                             ";"N"
5240;"REB/GOTTI                                         ";"N"
5241;"REB/GOYDO REG CAN                                 ";"N"
5242;"REB/GOYDO REG TOR                                 ";"N"
5243;"REB/GOYDO SRG BSC                                 ";"N"
5244;"REB/GOYDO SRG GAS                                 ";"N"
5245;"REB/GOYDO SRG GRA                                 ";"N"
5246;"REB/GOYDO                                         ";"N"
5247;"REB/GR TR 0332                                    ";"N"
5248;"REB/GRAHL                                         ";"N"
5249;"REB/GRAJAU                                        ";"N"
525;"IMP/STANDARD NAN 90                               ";"N"
5250;"REB/GRAN LUXO                                     ";"N"
5251;"REB/GRIEGER                                       ";"N"
5252;"REB/GT                                            ";"N"
5253;"REB/GUERRA AG GR                                  ";"N"
5254;"REB/GUERRA AG CS                                  ";"N"
5255;"REB/GUERRA AG PC                                  ";"N"
5256;"REB/GUERRA AG TQ                                  ";"N"
5257;"REB/GUERRA AG BS                                  ";"N"
5258;"REB/GUERRA AG SI                                  ";"N"
5259;"REB/GUERRA AG RGR                                 ";"N"
526;"IMP/JIANSHE JS50Q 4A                              ";"N"
5260;"REB/GUERRA CHARGER GR                             ";"N"
5261;"REB/GUERRA CHARGER CS                             ";"N"
5262;"REB/GUERRA CHARGER PC                             ";"N"
5263;"REB/GUERRA CHARGER TQ                             ";"N"
5264;"REB/GUERRA CHARGER BS                             ";"N"
5265;"REB/GUERRA CHARGER SI                             ";"N"
5266;"REB/GUERRA                                        ";"N"
5267;"REB/H.C.                                          ";"N"
5268;"REB/H.P.N.                                        ";"N"
5269;"REB/HALLEY COMPACT HOUSE                          ";"N"
527;"IMP/JIANSHE JS50Q 4E                              ";"N"
5270;"REB/HALLEY HORSE IV                               ";"N"
5271;"REB/HALLEY TEAM HOPE                              ";"N"
5272;"REB/HALLEY TURIASSU                               ";"N"
5273;"REB/HALLEY                                        ";"N"
5274;"REB/HANN                                          ";"N"
5275;"REB/HARVEST                                       ";"N"
5276;"REB/HAWAY                                         ";"N"
5277;"REB/HIDROPLAS                                     ";"N"
5278;"REB/HM                                            ";"N"
5279;"REB/HOBIE CAR                                     ";"N"
528;"AGRALE/WR 360                                     ";"N"
5280;"REB/HOLAMBRA                                      ";"N"
5281;"REB/HOOS                                          ";"N"
5282;"REB/HORBACH                                       ";"N"
5283;"REB/HORIZONTE                                     ";"N"
5284;"REB/HORNBURG                                      ";"N"
5285;"REB/HT                                            ";"N"
5286;"REB/I.A.C.                                        ";"N"
5287;"REB/ICAAP                                         ";"N"
5288;"REB/ICAFEL                                        ";"N"
5289;"REB/ICOPAS                                        ";"N"
529;"AGRALE/WR 250                                     ";"N"
5290;"REB/IDEROL SRI CS                                 ";"N"
5291;"REB/IDEROL SRI GR                                 ";"N"
5292;"REB/IDEROL SRI FE                                 ";"N"
5293;"REB/IDEROL SRI FG                                 ";"N"
5294;"REB/IDEROL SRI BS                                 ";"N"
5295;"REB/IDEROL SRI TQ                                 ";"N"
5296;"REB/IDEROL SRI PC                                 ";"N"
5297;"REB/IDEROL SRI ES                                 ";"N"
5298;"REB/IDEROL RBI CS                                 ";"N"
5299;"REB/IDEROL RBI ES                                 ";"N"
53;"HONDA/125                                         ";"N"
530;"IMP/DERBI                                         ";"N"
5300;"REB/IDEROL RBI CA                                 ";"N"
5301;"REB/IDEROL                                        ";"N"
5302;"REB/IGUACU                                        ";"N"
5303;"REB/IMACO                                         ";"N"
5304;"REB/IMAROL                                        ";"N"
5305;"REB/IMBRAVE                                       ";"N"
5306;"REB/IMESA                                         ";"N"
5307;"REB/IMPLEMAC                                      ";"N"
5308;"REB/INCAL                                         ";"N"
5309;"REB/INCODEMA                                      ";"N"
531;"JTA/SUZUKI DR350                                  ";"N"
5310;"REB/INCOMAC                                       ";"N"
