tmvcodigo;tmvdescricao;tmvatualiza
1958;"IMP/M.BENZ 300 CE                                 ";"N"
1959;"IMP/M.BENZ 260 SE                                 ";"N"
196;"IMP/PIAGGIO RUNNER GL 50                          ";"N"
1960;"IMP/M.BENZ 280 S                                  ";"N"
1961;"IMP/M.BENZ 240 D                                  ";"N"
1962;"IMP/M.BENZ 250                                    ";"N"
1963;"IMP/M.BENZ 300 SEL                                ";"N"
1964;"IMP/M.BENZ 230 E                                  ";"N"
1965;"IMP/M.BENZ E320                                   ";"N"
1966;"VW/HAWAI                                          ";"N"
1967;"MON/COSMO BUGGY                                   ";"N"
1968;"MON/FERA                                          ";"N"
1969;"MX                                                ";"N"
197;"IMP/PIAGGIO VESPA OR 150                          ";"N"
1970;"MIURA/TARGA                                       ";"N"
1971;"MIURA/SPIDER                                      ";"N"
1972;"MIURA/SAGA                                        ";"N"
1973;"MIURA/787                                         ";"N"
1974;"MIURA/X-8                                         ";"N"
1975;"MIURA/TOP SPORT                                   ";"N"
1976;"MIURA                                             ";"N"
1977;"EMIS/ART                                          ";"N"
1978;"EMIS/BUGGY                                        ";"N"
1979;"EMIS                                              ";"N"
198;"IMP/PIAGGIO ZIP 50                                ";"N"
1980;"IMP/SAAB 9.000                                    ";"N"
1981;"IMP/SAAB                                          ";"N"
1982;"IMP/STUTZ                                         ";"N"
1983;"VW/MARINER                                        ";"N"
1984;"VW/BERLIM                                         ";"N"
1985;"VW/CARIBE                                         ";"N"
1986;"VW/SAVANA                                         ";"N"
1987;"GURGEL/CARAJAS LE                                 ";"N"
1988;"GURGEL/CARAJAS PLUS                               ";"N"
1989;"GURGEL/CARAJAS VIP                                ";"N"
199;"IMP/PIAGGIO ZIP 50 FD                             ";"N"
1990;"GURGEL/CARAJAS                                    ";"N"
1991;"VW/MIGLIO AMX                                     ";"N"
1992;"VW/MIGLIO                                         ";"N"
1993;"IMP/SUZUKI SWIFT GTI                              ";"N"
1994;"IMP/SUZUKI SWIFT SD                               ";"N"
1995;"IMP/SUZUKI SWIFT HT                               ";"N"
1996;"IMP/SUZUKI SIDEKICK                               ";"N"
1997;"IMP/SUZUKI VITARA                                 ";"N"
1998;"IMP/SUZUKI SAMURAI                                ";"N"
1999;"IMP/SUZUKI SWIFT CV                               ";"N"
2;"AGRALE/DAKAR 30.0                                 ";"N"
20;"BP/LAMBRETTA BR                                   ";"N"
200;"IMP/PIAGGIO                                       ";"N"
2000;"IMP/SUZUKI CARRY VTA                              ";"N"
2001;"IMP/SUZUKI BALENO GLX                             ";"N"
2002;"IMP/SUZUKI BALENO GS                              ";"N"
2003;"IMP/SUZUKI VITARA V6                              ";"N"
2004;"IMP/SUZUKI VITARA JLX                             ";"N"
2005;"IMP/SUZUKI SIDEKICK JA                            ";"N"
2006;"IMP/SUZUKI CARRY VTB                              ";"N"
2007;"IMP/SUZUKI SWIFT 1.0 L                            ";"N"
2008;"IMP/SUZUKI VITARA JLX16V                          ";"N"
2009;"IMP/SUZUKI SIDEKICK JLXS                          ";"N"
201;"IMP/SUZUKI AE 50                                  ";"N"
2010;"IMP/SUZUKI X.90                                   ";"N"
2011;"IMP/SUZUKI BALENO W GLX                           ";"N"
2012;"IMP/SUZUKI VITARA 1.6 JX                          ";"N"
2013;"IMP/SUZUKI                                        ";"N"
2014;"IMP/RUGBY                                         ";"N"
2015;"GIANT'S/BUGGY                                     ";"N"
2016;"GIANT'S                                           ";"N"
2017;"SM/4.1                                            ";"N"
2018;"SANTA MATILDE                                     ";"N"
2019;"VW/BEACH                                          ";"N"
202;"IMP/SUZUKI AG 100                                 ";"N"
2020;"VW/VILLA GT                                       ";"N"
2021;"VW/VILLA                                          ";"N"
2022;"MON/BRIGAO                                        ";"N"
2023;"IMP/CROSMOBILLE                                   ";"N"
2024;"IMP/WEEP                                          ";"N"
2025;"VW/BUGGY LOOK                                     ";"N"
2026;"VW/GALGO                                          ";"N"
2027;"VW/POLAUTO                                        ";"N"
2028;"VW/GUEPARDO                                       ";"N"
2029;"VW/LASER                                          ";"N"
203;"IMP/SUZUKI GT 380                                 ";"N"
2030;"VW/MG SPAIC                                       ";"N"
2031;"VW/NINJA                                          ";"N"
2032;"VW/ORION                                          ";"N"
2033;"VW/PONEY II                                       ";"N"
2034;"VW/PONEY                                          ";"N"
2035;"VW/SHALON                                         ";"N"
2036;"VW/SPEED                                          ";"N"
2037;"VW/SUNSET                                         ";"N"
2038;"VW/TARGINO                                        ";"N"
2039;"VW/TCHE                                           ";"N"
204;"IMP/SUZUKI GSF 250                                ";"N"
2040;"VW/VENTURA                                        ";"N"
2041;"VW/WAY                                            ";"N"
2042;"VW/XIRU                                           ";"N"
2043;"VW/DICOCAR                                        ";"N"
2044;"VW/BAJA FUSCOLETE                                 ";"N"
2045;"VW/BRASILETE                                      ";"N"
2046;"VW/CHARM                                          ";"N"
2047;"VW/KARMANN MOBIL                                  ";"N"
2048;"VW/ROMA                                           ";"N"
2049;"VW/UGGY                                           ";"N"
205;"IMP/SUZUKI GSF 400                                ";"N"
2050;"VW/CARIBE JEEP                                    ";"N"
2051;"VW/GRINGO                                         ";"N"
2052;"VW/FORMIGAO                                       ";"N"
2053;"VW/FALCAO                                         ";"N"
2054;"VW/JARD                                           ";"N"
2055;"VW/PANDA                                          ";"N"
2056;"VW/HOLLY                                          ";"N"
2057;"VW/FALCON                                         ";"N"
2058;"VW/BTM                                            ";"N"
2059;"VW/SCORPIO                                        ";"N"
206;"IMP/SUZUKI GSXR 1100                              ";"N"
2060;"VW/LIGIER                                         ";"N"
2061;"VW/GRAPPI                                         ";"N"
2062;"BABY/BUGGY                                        ";"N"
2063;"BABY/LAIO                                         ";"N"
2064;"BABY/TST                                          ";"N"
2065;"BABY                                              ";"N"
2066;"VW/GASELLE                                        ";"N"
2067;"IMP/LLOYD                                         ";"N"
2068;"VW/XINGU                                          ";"N"
2069;"PY/EQUUS VS                                       ";"N"
207;"IMP/SUZUKI GSXR 750                               ";"N"
2070;"PY/EQUUS VX                                       ";"N"
2071;"PY/EQUUS VSX                                      ";"N"
2072;"PY/EQUUS                                          ";"N"
2073;"MON/TANDER PHOR                                   ";"N"
2074;"MON/RAMELO                                        ";"N"
2075;"LHM/PHOENIX                                       ";"N"
2076;"LHM                                               ";"N"
2077;"VW/QUIRON BG                                      ";"N"
2078;"VW/QUIRON SP                                      ";"N"
2079;"MON/CWA                                           ";"N"
208;"IMP/SUZUKI FB 100                                 ";"N"
2080;"MON/TURINO                                        ";"N"
2081;"MON/S. HOUSE                                      ";"N"
2082;"VW/GUACU                                          ";"N"
2083;"VW/ATOBA                                          ";"N"
2084;"VW/SCANNER                                        ";"N"
2085;"SPJ/GARRA                                         ";"N"
2086;"VW/SANTINA BELFUSCA                               ";"N"
2087;"VW/SANTINA BELJIPE                                ";"N"
2088;"VW/SANTINA                                        ";"N"
2089;"SANTINA/BELFUSCA                                  ";"N"
209;"IMP/SUZUKI AN 125                                 ";"N"
2090;"SANTINA/BELJIPE                                   ";"N"
2091;"SANTINA                                           ";"N"
2092;"FVE/SAVAGE                                        ";"N"
2093;"FVE                                               ";"N"
2094;"VW/FVE SAVAGE                                     ";"N"
2095;"VW/FVE                                            ";"N"
2096;"ALDEE                                             ";"N"
2097;"NBM/JORNADA MR                                    ";"N"
2098;"NBM/JORNADA                                       ";"N"
2099;"NBM/SPIRIT                                        ";"N"
21;"BP/LAMBRETTA                                      ";"N"
210;"IMP/SUZUKI ROYAL CRISTAL                          ";"N"
2100;"PHANTOM/BUGGY                                     ";"N"
2101;"PHANTOM/TARGA                                     ";"N"
2102;"PHANTOM                                           ";"N"
2103;"FIBRAV/MAGNATA                                    ";"N"
2104;"FIBRAV/MAGNATA LS                                 ";"N"
2105;"FIBRAV/MAGNATA LSE                                ";"N"
2106;"FIBRAV/MAGNATA ST.TROPEZ                          ";"N"
2107;"FIBRAV/MAGNATA RANCHO                             ";"N"
2108;"FIBRAV                                            ";"N"
2109;"ADAMO/GTL                                         ";"N"
211;"IMP/SUZUKI SEPHIA 50                              ";"N"
2110;"ADAMO/GTM                                         ";"N"
2111;"ADAMO/GTM-C2                                      ";"N"
2112;"ADAMO/CRX 1.8                                     ";"N"
2113;"ADAMO/AC 2000                                     ";"N"
2114;"ADAMO                                             ";"N"
2115;"COYOTE/AUTOCROSS                                  ";"N"
2116;"COYOTE/AUTOCROSS ABUTRE                           ";"N"
2117;"COYOTE                                            ";"N"
2118;"VW/LEBLON                                         ";"N"
2119;"GM/KADETT SL                                      ";"N"
212;"IMP/SUZUKI MAURADER                               ";"N"
2120;"GM/KADETT SL/E                                    ";"N"
2121;"GM/KADETT GS                                      ";"N"
2122;"GM/KADETT IPANEMA SL                              ";"N"
2123;"GM/KADETT IPANEMA SL/E                            ";"N"
2124;"GM/KADETT TURIM                                   ";"N"
2125;"GM/KADETT GSI MPFI                                ";"N"
2126;"GM/KADETT SL EFI                                  ";"N"
2127;"GM/KADETT SL/E EFI                                ";"N"
2128;"GM/KADETT IPANEMA SL EFI                          ";"N"
2129;"GM/KADETT IPAN. SL/E EFI                          ";"N"
213;"IMP/SUZUKI SAVAGE LS650                           ";"N"
2130;"GM/KADETT IPANEMA WAVE                            ";"N"
2131;"GM/KADETT IPANEMA SOL                             ";"N"
2132;"GM/KADETT GL                                      ";"N"
2133;"GM/KADETT GLS                                     ";"N"
2134;"GM/KADETT LITE                                    ";"N"
2135;"GM/KADETT SPORT                                   ";"N"
2136;"WILLYS/AERO WILLYS                                ";"N"
2137;"MATIS/SAINT TROPEZ                                ";"N"
2138;"MATIS                                             ";"N"
2139;"VW/MATIS ALL TERRAIN                              ";"N"
214;"IMP/SUZUKI TL 1000S                               ";"N"
2140;"VW/MATIS                                          ";"N"
2141;"TANGER/CL                                         ";"N"
2142;"TANGER/TR                                         ";"N"
2143;"TANGER/CABRIOLE                                   ";"N"
2144;"TANGER/GU                                         ";"N"
2145;"TANGER/LUCENA                                     ";"N"
2146;"TANGER/SEVETSE                                    ";"N"
2147;"TANGER/REDAJ                                      ";"N"
2148;"TANGER/VICLA                                      ";"N"
2149;"TANGER/LAVIC                                      ";"N"
215;"IMP/SUZUKI DR 125SJ                               ";"N"
2150;"TANGER                                            ";"N"
2151;"EGO/CUMBUCO S                                     ";"N"
2152;"EGO/CUMBUCO L                                     ";"N"
2153;"EGO/CUMBUCO SL                                    ";"N"
2154;"EGO/CUMBUCO                                       ";"N"
2155;"SPORT REIN                                        ";"N"
2156;"VW/SPORT REIN                                     ";"N"
2157;"MP LAFER/MP                                       ";"N"
2158;"MP LAFER/TI                                       ";"N"
2159;"MP LAFER/TX                                       ";"N"
216;"IMP/SUZUKI GN 125R                                ";"N"
2160;"MP LAFER                                          ";"N"
2161;"VW/ARKS                                           ";"N"
2162;"CHAMONIX/550                                      ";"N"
2163;"CHAMONIX/S90                                      ";"N"
2164;"CHAMONIX                                          ";"N"
2165;"VW/AGNIS MG                                       ";"N"
2166;"VW/AGNIS                                          ";"N"
2167;"MOBBY                                             ";"N"
2168;"VW/MOBBY                                          ";"N"
2169;"MON/JULIE                                         ";"N"
217;"IMP/SUZUKI GN 250R                                ";"N"
2170;"VW/VENENO                                         ";"N"
2171;"IMP/MORRIS ******                                 ";"N"
2172;"VW/PAG NICK                                       ";"N"
2173;"VW/PAG NICK L                                     ";"N"
2174;"VW/PAG CHUBBY                                     ";"N"
2175;"FIBRAL/POTRO                                      ";"N"
2176;"VW/POTRO                                          ";"N"
2177;"IMP/MAZDA MX-5 PB                                 ";"N"
2178;"IMP/MAZDA MPV PB                                  ";"N"
2179;"IMP/MAZDA PROTEGE LX                              ";"N"
218;"IMP/SUZUKI GS 125ES                               ";"N"
2180;"IMP/MAZDA 626 PB                                  ";"N"
2181;"IMP/MAZDA 929                                     ";"N"
2182;"IMP/MAZDA MX-3 PB                                 ";"N"
2183;"IMP/MAZDA 626 GT PB                               ";"N"
2184;"IMP/MAZDA MX-3                                    ";"N"
2185;"IMP/MAZDA 626 GLX                                 ";"N"
2186;"IMP/MAZDA MILLENIA                                ";"N"
2187;"IMP/MAZDA 323 GS                                  ";"N"
2188;"IMP/MAZDA MPV                                     ";"N"
2189;"IMP/MAZDA                                         ";"N"
219;"IMP/SUZUKI AX 100                                 ";"N"
2190;"MEIJOR                                            ";"N"
2191;"VW/MEIJOR                                         ";"N"
2192;"VW/TROPICAL                                       ";"N"
2193;"VW/JOBBY                                          ";"N"
2194;"ZIG                                               ";"N"
2195;"IMP/HUPMOBILE                                     ";"N"
2196;"SABRE                                             ";"N"
2197;"VW/FLAY                                           ";"N"
2198;"IMP/FORD SR COUNTRY XK                            ";"N"
2199;"IMP/FORD SR COUNTRY LX                            ";"N"
22;"BP/PASCO                                          ";"N"
220;"IMP/SUZUKI GSXR 600                               ";"N"
2200;"IMP/FORD                                          ";"N"
2201;"IMP/CHEVRELE ******                               ";"N"
2202;"VW/MENON BUGGY                                    ";"N"
2203;"VW/MENON BAJA                                     ";"N"
2204;"VW/FER CAR BAJA                                   ";"N"
2205;"VW/FER CAR BAJA BUGGY                             ";"N"
2206;"VW/FER CAR BUGGY                                  ";"N"
